Episodio,Score,Passos,Resultado,Pousou,Colisao,Timeout,VelocidadeAngularMedia,VelocidadeAngularMaxima,Epsilon,LossMedia
159,-121.3518,245,crash,0,1,0,0.387701,1.074346,0.968697,0.551877
160,-78.5695,225,crash,0,1,0,0.219283,0.590669,0.968503,0.354015
161,-75.1379,324,crash,0,1,0,0.215357,0.583607,0.96831,0.432893
162,-85.078,235,crash,0,1,0,0.15981,0.529049,0.968116,0.436974
163,-126.9421,311,crash,0,1,0,0.352753,0.829664,0.967922,0.455886
164,-104.5591,210,crash,0,1,0,0.474566,1.06633,0.967729,0.414782
165,-98.4619,215,crash,0,1,0,0.173618,0.472131,0.967535,0.328151
166,-78.9186,257,crash,0,1,0,0.160926,0.456511,0.967342,0.306551
167,-71.8238,330,crash,0,1,0,0.214781,0.600245,0.967148,0.424037
168,-45.2728,293,crash,0,1,0,0.171504,0.761703,0.966955,0.363249
169,-69.7678,266,crash,0,1,0,0.248691,0.693471,0.966762,0.495558
170,-85.4609,391,crash,0,1,0,0.126267,0.509062,0.966568,0.343751
171,-78.8438,224,crash,0,1,0,0.224801,0.713882,0.966375,0.284929
172,-63.4499,211,crash,0,1,0,0.203065,0.528159,0.966182,0.594075
173,-138.3657,278,crash,0,1,0,0.247848,0.707563,0.965988,0.470685
174,-114.9833,295,crash,0,1,0,0.29053,0.788099,0.965795,0.353086
175,-73.7948,222,crash,0,1,0,0.189117,0.563774,0.965602,0.490936
176,-132.3138,249,crash,0,1,0,0.359213,0.807056,0.965409,0.482763
177,-88.5441,265,crash,0,1,0,0.240287,0.539386,0.965216,0.401287
178,-93.2676,280,crash,0,1,0,0.224368,0.633989,0.965023,0.482927
179,-92.5516,235,crash,0,1,0,0.351809,0.985497,0.96483,0.267784
180,-73.4959,237,crash,0,1,0,0.241224,0.583462,0.964637,0.362205
181,-84.4812,296,crash,0,1,0,0.173413,0.531372,0.964444,0.37052
182,-47.3124,334,crash,0,1,0,0.181311,0.636578,0.964251,0.558953
183,-81.0524,247,crash,0,1,0,0.315153,0.730305,0.964058,0.482912
184,-121.6358,214,crash,0,1,0,0.303039,0.735869,0.963865,0.350904
185,-99.3752,241,crash,0,1,0,0.408824,0.810514,0.963673,0.336093
186,-74.8976,280,crash,0,1,0,0.163253,0.48486,0.96348,0.387065
187,-97.5404,266,crash,0,1,0,0.148074,0.531559,0.963287,0.491037
188,-62.8761,281,crash,0,1,0,0.229503,0.667787,0.963094,0.398384
189,-44.8901,298,crash,0,1,0,0.2505,0.742191,0.962902,0.466566
190,-93.1612,286,crash,0,1,0,0.246143,0.753047,0.962709,0.579264
191,-72.2996,297,crash,0,1,0,0.156559,0.657601,0.962517,0.260493
192,-74.916,237,crash,0,1,0,0.17765,0.56072,0.962324,0.44914
193,-137.2567,225,crash,0,1,0,0.307402,0.864772,0.962132,0.330892
194,-134.7714,296,crash,0,1,0,0.310444,0.832432,0.961939,0.558571
195,-95.1057,280,crash,0,1,0,0.209573,0.529261,0.961747,0.205834
196,-97.3355,212,crash,0,1,0,0.238028,0.886988,0.961555,0.511447
197,-83.9776,318,crash,0,1,0,0.207957,0.612824,0.961362,0.302813
198,-94.8144,263,crash,0,1,0,0.304341,0.617944,0.96117,0.380686
199,-102.1821,290,crash,0,1,0,0.218485,0.724962,0.960978,0.42976
200,-130.9508,280,crash,0,1,0,0.3093,0.869713,0.960786,0.477035
201,-76.9212,229,crash,0,1,0,0.217869,0.584038,0.960593,0.440257
202,-96.6461,192,crash,0,1,0,0.292647,0.787452,0.960401,0.281815
203,-119.9599,186,crash,0,1,0,0.592007,1.050442,0.960209,0.712631
204,-155.9333,250,crash,0,1,0,0.45759,1.188191,0.960017,0.277645
205,-72.0961,223,crash,0,1,0,0.131805,0.422275,0.959825,0.422423
206,-88.2117,324,crash,0,1,0,0.319298,1.00957,0.959633,0.449005
207,-114.1412,379,crash,0,1,0,0.168149,0.480203,0.959441,0.451153
208,-157.7533,258,crash,0,1,0,0.304909,0.918733,0.959249,0.339693
209,-64.7686,259,crash,0,1,0,0.166489,0.550627,0.959058,0.550475
210,-74.4014,346,crash,0,1,0,0.128343,0.527006,0.958866,0.28209
211,-108.5021,290,crash,0,1,0,0.218179,0.556188,0.958674,0.437975
212,-75.219,305,crash,0,1,0,0.237275,0.652537,0.958482,0.5293
213,-103.7338,261,crash,0,1,0,0.334044,1.032504,0.958291,0.479494
214,-143.0884,224,crash,0,1,0,0.341991,0.816635,0.958099,0.388726
215,-76.9097,247,crash,0,1,0,0.131115,0.524616,0.957907,0.426046
216,-103.9803,229,crash,0,1,0,0.295521,0.849426,0.957716,0.246664
217,-85.3483,278,crash,0,1,0,0.309164,1.049857,0.957524,0.251285
218,-147.3741,243,crash,0,1,0,0.308184,0.733103,0.957333,0.552924
219,-114.9745,293,crash,0,1,0,0.206454,0.917065,0.957141,0.475277
220,-100.4266,237,crash,0,1,0,0.198405,0.5419,0.95695,0.296402
221,-96.5704,207,crash,0,1,0,0.133337,0.406968,0.956758,0.333718
222,-111.946,324,crash,0,1,0,0.16728,0.519219,0.956567,0.344922
223,-51.5409,231,crash,0,1,0,0.16606,0.671398,0.956376,0.38969
224,-134.2758,276,crash,0,1,0,0.196317,0.490452,0.956184,0.434763
225,-56.7358,334,crash,0,1,0,0.14855,0.39603,0.955993,0.376428
226,-92.8168,265,crash,0,1,0,0.214481,0.819335,0.955802,0.429036
227,-95.624,184,crash,0,1,0,0.181964,0.658363,0.955611,0.483322
228,-73.5852,283,crash,0,1,0,0.114088,0.40226,0.95542,0.505231
229,-67.8837,201,crash,0,1,0,0.218164,0.660369,0.955229,0.310466
230,-123.7497,254,crash,0,1,0,0.267208,0.700727,0.955038,0.593659
231,-65.6365,198,crash,0,1,0,0.244501,0.729193,0.954847,0.428339
232,-81.4275,277,crash,0,1,0,0.145565,0.43727,0.954656,0.490619
233,-55.0885,245,crash,0,1,0,0.139376,0.426263,0.954465,0.333857
234,-56.3958,224,crash,0,1,0,0.422945,0.782399,0.954274,0.588644
235,-93.3122,272,crash,0,1,0,0.169414,0.573801,0.954083,0.278082
236,-102.4437,290,crash,0,1,0,0.18273,0.553863,0.953892,0.483074
237,-61.9013,293,crash,0,1,0,0.193302,0.895862,0.953701,0.452547
238,-126.4725,377,crash,0,1,0,0.233305,0.602904,0.953511,0.394862
239,-57.2084,256,crash,0,1,0,0.147215,0.45364,0.95332,0.513411
240,-107.131,215,crash,0,1,0,0.382275,0.765144,0.953129,0.38816
241,-142.8108,290,crash,0,1,0,0.22204,0.829853,0.952939,0.378118
242,-115.3783,267,crash,0,1,0,0.30112,0.688181,0.952748,0.501481
243,-65.0093,246,crash,0,1,0,0.263947,0.878984,0.952557,0.259336
244,-95.2222,227,crash,0,1,0,0.263287,0.889384,0.952367,0.387382
245,-63.82,226,crash,0,1,0,0.138971,0.433154,0.952176,0.502639
246,-82.6987,244,crash,0,1,0,0.12869,0.442813,0.951986,0.38916
247,-78.7141,318,crash,0,1,0,0.159532,0.586834,0.951796,0.428209
248,-80.1836,220,crash,0,1,0,0.180023,0.464381,0.951605,0.382015
249,-61.4891,236,crash,0,1,0,0.250359,0.703011,0.951415,0.428667
250,-135.0161,228,crash,0,1,0,0.280752,0.596199,0.951225,0.423017
251,-88.343,272,crash,0,1,0,0.15064,0.480538,0.951034,0.453919
252,-149.5253,265,crash,0,1,0,0.328062,0.746565,0.950844,0.33579
253,-71.0408,252,crash,0,1,0,0.138714,0.485753,0.950654,0.459263
254,-99.0917,258,crash,0,1,0,0.260533,0.614554,0.950464,0.360299
255,-126.2357,225,crash,0,1,0,0.35667,0.764063,0.950274,0.442235
256,-85.9272,207,crash,0,1,0,0.319583,0.962611,0.950084,0.543929
257,-97.1444,364,crash,0,1,0,0.201917,0.639829,0.949894,0.425201
258,-98.2241,275,crash,0,1,0,0.308063,0.70752,0.949704,0.472093
259,-71.4014,296,crash,0,1,0,0.171806,0.673192,0.949514,0.315817
260,-144.632,267,crash,0,1,0,0.239608,0.55011,0.949324,0.558865
261,-67.486,206,crash,0,1,0,0.303372,0.737776,0.949134,0.566746
262,-77.8666,196,crash,0,1,0,0.11156,0.36957,0.948944,0.386126
263,-137.2578,209,crash,0,1,0,0.311573,0.741622,0.948754,0.333536
264,-77.6254,240,crash,0,1,0,0.35596,1.028677,0.948565,0.37306
265,-86.2911,207,crash,0,1,0,0.157705,0.401035,0.948375,0.304036
266,-61.4247,256,crash,0,1,0,0.139823,0.652881,0.948185,0.217753
267,-107.3484,301,crash,0,1,0,0.217522,0.76314,0.947996,0.834567
268,-81.6562,240,crash,0,1,0,0.26119,0.575604,0.947806,0.32097
269,-97.1211,258,crash,0,1,0,0.226991,1.016208,0.947617,0.582206
270,-102.7054,279,crash,0,1,0,0.247905,0.525901,0.947427,0.397445
271,-138.1677,194,crash,0,1,0,0.302646,0.943689,0.947238,0.541576
272,-88.7766,230,crash,0,1,0,0.170237,0.51781,0.947048,0.351327
273,-86.6823,340,crash,0,1,0,0.169223,0.630065,0.946859,0.223523
274,-98.2681,242,crash,0,1,0,0.22445,0.687863,0.946669,0.386662
275,-97.6179,249,crash,0,1,0,0.24291,0.650189,0.94648,0.519345
276,-83.374,249,crash,0,1,0,0.130719,0.372177,0.946291,0.412272
277,-60.8837,215,crash,0,1,0,0.327091,0.694294,0.946101,0.44381
278,-124.0409,272,crash,0,1,0,0.311702,1.093516,0.945912,0.533182
279,-45.2284,292,crash,0,1,0,0.258831,0.693016,0.945723,0.34756
280,-86.7653,206,crash,0,1,0,0.166289,0.560131,0.945534,0.332985
281,-69.9069,265,crash,0,1,0,0.245585,0.923177,0.945345,0.546379
282,-81.7215,231,crash,0,1,0,0.165409,0.529403,0.945156,0.442654
283,-78.5176,254,crash,0,1,0,0.140737,0.430996,0.944967,0.496584
284,-89.9873,194,crash,0,1,0,0.311902,0.850198,0.944778,0.556004
285,-107.1071,261,crash,0,1,0,0.235103,0.898352,0.944589,0.653477
286,-145.236,258,crash,0,1,0,0.245695,0.664957,0.9444,0.532472
287,-107.2712,272,crash,0,1,0,0.179661,0.624811,0.944211,0.525446
288,-63.0889,279,crash,0,1,0,0.150222,0.505668,0.944022,0.414132
289,-71.1695,298,crash,0,1,0,0.278512,0.722747,0.943833,0.429035
290,-124.9349,204,crash,0,1,0,0.235674,0.738043,0.943644,0.630571
291,-126.6035,320,crash,0,1,0,0.231962,0.598388,0.943456,0.460972
292,-80.9466,238,crash,0,1,0,0.158852,0.641167,0.943267,0.492087
293,-80.2501,213,crash,0,1,0,0.298435,0.712195,0.943078,0.521168
294,-97.5087,228,crash,0,1,0,0.31407,0.835735,0.94289,0.515592
295,-94.3316,229,crash,0,1,0,0.425665,1.034867,0.942701,0.345851
296,-95.7386,242,crash,0,1,0,0.247561,0.811292,0.942513,0.264136
297,-95.1092,324,crash,0,1,0,0.268643,0.682709,0.942324,0.236532
298,-84.337,218,crash,0,1,0,0.162044,0.605405,0.942136,0.286895
299,-83.6533,255,crash,0,1,0,0.203247,0.610273,0.941947,0.460971
300,-151.997,242,crash,0,1,0,0.314483,0.755134,0.941759,0.261225
301,-58.9527,192,crash,0,1,0,0.299601,0.573046,0.941571,0.378038
302,-89.2347,186,crash,0,1,0,0.182105,0.672009,0.941382,0.261589
303,-59.3554,283,crash,0,1,0,0.226241,0.597659,0.941194,0.532233
304,-99.3596,295,crash,0,1,0,0.254804,0.620868,0.941006,0.442059
305,-115.1771,248,crash,0,1,0,0.213159,0.516384,0.940818,0.314044
306,-121.2509,228,crash,0,1,0,0.219447,0.636866,0.940629,0.624485
307,-94.6572,303,crash,0,1,0,0.217373,0.846167,0.940441,0.630189
308,-95.9412,257,crash,0,1,0,0.245744,0.735946,0.940253,0.581337
309,-136.8901,196,crash,0,1,0,0.442333,0.982706,0.940065,0.691343
310,-130.7757,202,crash,0,1,0,0.487352,1.043401,0.939877,0.465044
311,-62.0799,257,crash,0,1,0,0.191607,0.547552,0.939689,0.442208
312,-67.1355,288,crash,0,1,0,0.0976,0.370296,0.939501,0.360626
313,-74.5729,266,crash,0,1,0,0.108555,0.383703,0.939313,0.552445
314,-151.9405,249,crash,0,1,0,0.357695,0.877354,0.939125,0.357548
315,-100.8958,275,crash,0,1,0,0.19496,0.656627,0.938938,0.492016
316,-149.3728,219,crash,0,1,0,0.363996,0.913895,0.93875,0.514107
317,-67.725,242,crash,0,1,0,0.1729,0.499617,0.938562,0.515131
318,-110.9766,231,crash,0,1,0,0.155558,0.60431,0.938374,0.297216
319,-117.7468,245,crash,0,1,0,0.239724,0.634486,0.938187,0.589693
320,-84.7823,251,crash,0,1,0,0.137898,0.526692,0.937999,0.589264
321,-128.5552,221,crash,0,1,0,0.449487,1.140034,0.937811,0.3938
322,-65.7069,262,crash,0,1,0,0.163223,0.526689,0.937624,0.15931
323,-120.0108,180,crash,0,1,0,0.277151,0.73431,0.937436,0.315854
324,-48.0129,292,crash,0,1,0,0.146024,0.492879,0.937249,0.583576
325,-114.6204,299,crash,0,1,0,0.171464,0.586186,0.937061,0.523597
326,-61.8146,218,crash,0,1,0,0.260477,0.714333,0.936874,0.433761
327,-70.4312,362,crash,0,1,0,0.209831,0.609365,0.936687,0.502257
328,-102.7041,242,crash,0,1,0,0.1406,0.483934,0.936499,0.400413
329,-70.1119,262,crash,0,1,0,0.089493,0.425867,0.936312,0.51953
330,-76.9271,201,crash,0,1,0,0.210481,0.666281,0.936125,0.337283
331,-83.7004,211,crash,0,1,0,0.153915,0.384883,0.935937,0.553804
332,-73.0771,236,crash,0,1,0,0.096625,0.311545,0.93575,0.766771
333,-73.5833,227,crash,0,1,0,0.175506,0.410954,0.935563,0.592695
334,-112.9035,330,crash,0,1,0,0.155995,0.670305,0.935376,0.48291
335,-65.3778,319,crash,0,1,0,0.226298,0.803429,0.935189,0.489923
336,-76.2684,219,crash,0,1,0,0.172231,0.448992,0.935002,0.415426
337,-166.3735,293,crash,0,1,0,0.314239,0.778867,0.934815,0.595407
338,-73.1847,253,crash,0,1,0,0.157086,0.512056,0.934628,0.412702
339,-53.5404,289,crash,0,1,0,0.217914,0.624544,0.934441,0.510285
340,-47.9021,289,crash,0,1,0,0.214082,0.634984,0.934254,0.401536
341,-86.5369,209,crash,0,1,0,0.1807,0.730224,0.934067,0.359257
342,-79.4423,224,crash,0,1,0,0.200948,0.568338,0.93388,0.729696
343,-79.8044,293,crash,0,1,0,0.250056,0.891863,0.933694,0.280313
344,-90.8844,246,crash,0,1,0,0.24697,0.696794,0.933507,0.388862
345,-78.5025,238,crash,0,1,0,0.157515,0.553717,0.93332,0.562153
346,-81.3815,198,crash,0,1,0,0.292152,0.911923,0.933134,0.344522
347,-66.7145,229,crash,0,1,0,0.138335,0.437725,0.932947,0.206191
348,-79.5906,269,crash,0,1,0,0.126759,0.506936,0.93276,0.405557
349,-99.7686,274,crash,0,1,0,0.198571,0.74838,0.932574,0.631647
350,-66.3119,213,crash,0,1,0,0.195676,0.531652,0.932387,0.443485
351,-86.7062,253,crash,0,1,0,0.312847,0.8858,0.932201,0.520718
352,-85.9906,270,crash,0,1,0,0.148231,0.602944,0.932014,0.436574
353,-71.5985,239,crash,0,1,0,0.101399,0.3334,0.931828,0.416568
