Episodio,Reward Direita,Reward Esquerda,Passos
331,22.137091662641943,39.151341770036694,1031
332,9.280138888888894,6.340694444444447,247
333,8.439722222222219,9.730555555555561,256
334,47.267872510705175,23.77294985398397,1075
335,6.379166666666664,8.482916666666668,191
336,40.76377634122465,12.201904800241163,718
337,6.102374570243356,29.60287630806379,588
338,4.436250000000001,8.502222222222224,191
339,5.21847222222222,8.934861111111108,204
340,5.534861111111109,8.755277777777772,196
341,8.845277777777774,6.618194444444442,225
342,8.165555555555558,5.9752777777777775,175
343,7.857638888888893,5.901666666666666,175
344,9.08222222222222,7.8498611111111165,249
345,38.36635948403631,4.061973849297026,620
346,1.3393823144630872,28.486949461365334,484
347,7.708888888888888,5.876805555555554,189
348,5.674305555555555,9.81555555555556,253
349,5.182777777777776,9.024583333333334,203
350,9.25984345138261,36.90159435584136,264
351,4.698333333333334,7.529444444444442,164
352,5.884305555555555,8.838888888888889,217
353,0.12343851950059026,28.675548767206152,475
354,24.833225959242895,1.3014160482567636,443
355,9.549305555555557,6.172777777777783,245
356,5.49972222222222,7.712916666666664,174
357,8.603333333333335,5.218750000000001,185
358,7.8177777777777795,4.876111111111111,189
359,5.023055555555553,7.772499999999997,166
360,39.64768926886589,14.069592331516695,679
361,4.605694444444443,7.146666666666666,163
362,5.0556480612504675,29.478527248681345,509
363,25.598436254780502,6.053161526877592,448
364,5.044583333333331,8.549166666666661,194
365,27.613323521259666,5.738284280583228,453
366,8.557916666666669,4.8038888888888875,184
367,7.67180555555556,4.706944444444448,166
368,6.71652777777778,8.389305555555556,184
369,26.40837396455079,5.575277837771285,453
370,7.311944444444443,4.725555555555555,173
371,8.060000000000002,4.606666666666668,172
372,28.3376008791247,4.686120696743359,471
373,9.932361111111108,8.624722222222221,249
374,8.730138888888886,6.149999999999999,211
375,1.7809834323404967,37.43689776722199,546
376,4.006158886144487,28.610517270390545,478
377,29.78715558533733,2.411264135540538,473
378,36.48146180904734,3.323159759194775,530
379,4.29331889920268,30.319573309855542,491
380,8.661957531382972,33.57665357972813,557
381,35.64410903276259,2.460881139628645,549
382,6.615277777777778,8.353749999999996,197
383,36.65620050834485,10.419385901441014,686
384,7.930000000000006,4.274999999999999,180
385,38.277817098554166,2.9672389075385954,565
386,3.989834324593623,28.4137430180797,473
387,10.13305555555555,7.364305555555559,249
388,33.34938869283928,7.90100041084351,621
389,7.448517468077595,26.407005698366376,452
390,6.1143055555555605,9.487361111111113,239
391,27.658302292497922,3.132385192864872,465
392,5.2865277777777795,7.25277777777778,160
393,9.346527777777775,8.129999999999995,224
394,28.92918524880535,4.879999316987904,492
395,8.344027777777779,5.455833333333333,188
396,6.4180555555555605,8.526666666666673,185
397,7.757222222222229,4.731666666666672,187
398,7.286527777777788,9.163194444444448,224
399,8.414305555555556,4.861805555555557,196
400,8.799444444444447,6.828333333333335,212
401,28.037417533608043,4.642541560166917,467
402,5.390395648133174,27.069756058845513,451
403,27.528422065933384,5.209498585819535,444
404,15.913993015407257,40.114581535111306,768
405,37.40974725942008,7.115441053352091,635
406,70.90332660810816,19.363258473134408,883
407,7.717083333333337,9.692083333333331,230
408,36.2494867491104,1.5875565949905042,534
409,4.7223611111111135,7.271944444444446,163
410,3.7872440538562486,30.268959659439176,480
411,28.102935342459283,5.33233998218085,467
412,4.734861111111109,5.8395833333333345,166
413,39.84602806049943,1.9431874186709326,568
414,7.753194444444448,7.21791666666667,203
415,34.11852774843632,3.6224219654378107,559
416,5.203351786904328,30.349773643699795,525
417,5.540972222222224,5.570972222222221,166
418,29.30003435008412,14.738882471775442,555
419,31.748560215496795,2.7925200641623356,556
420,6.81013888888889,7.351944444444446,179
421,5.834166666666667,5.25875,171
422,2.4670668799084456,29.29494215415313,510
423,5.4731944444444425,6.174583333333335,162
424,29.120838011065626,4.1546177419635235,529
425,24.32636878776328,44.536214036811835,905
426,5.891527777777777,5.313055555555554,182
427,8.892083333333337,7.839722222222219,218
428,5.8373611111111074,5.379722222222224,168
429,34.54154363108154,12.566560882644819,592
430,8.285555555555558,9.781111111111114,244
431,9.517000730861662,33.977352350505605,537
432,9.328472222222224,9.687361111111109,235
433,26.176828920501134,5.068495587167806,162
434,4.152372431058659,27.23689228908308,449
